                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.3916,                 1.3606,                 1.3029,                0.52065,                0.46233,                0.46044,                0.25978,                 1.4532,                 1.3243,                 1.3414,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.4032,                 1.3522,                 1.3176,                0.53031,                0.45574,                0.47464,                0.26174,                 1.4598,                 1.3232,                 1.3493,               0.001406,               0.001406,               0.001406
                     62,                 1.3816,                 1.3311,                 1.2928,                0.51827,                0.45533,                0.45954,                0.25111,                 1.4839,                 1.3322,                 1.3482,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.3943,                  1.331,                 1.2932,                0.52895,                0.46604,                0.47337,                 0.2629,                 1.4522,                 1.3283,                 1.3337,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.3842,                 1.3258,                 1.3037,                 0.5105,                0.48044,                 0.4757,                 0.2648,                  1.453,                 1.3134,                 1.3396,              0.0013763,              0.0013763,              0.0013763
                     65,                  1.359,                 1.3164,                 1.2914,                0.52758,                 0.4718,                0.47132,                0.26212,                 1.4709,                 1.3317,                 1.3509,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.3809,                 1.3122,                 1.2933,                0.50654,                0.46933,                0.46455,                0.26294,                 1.4594,                 1.3092,                 1.3436,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.3694,                 1.3022,                 1.2857,                0.54145,                0.45739,                0.47142,                0.26285,                 1.4651,                 1.3101,                 1.3463,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.3722,                 1.3155,                 1.2852,                0.52952,                0.47797,                0.47816,                0.26898,                 1.4499,                 1.2942,                 1.3326,              0.0013367,              0.0013367,              0.0013367
                     69,                  1.356,                 1.2994,                 1.2848,                0.53791,                0.46535,                0.47935,                0.27136,                  1.444,                 1.2979,                 1.3452,              0.0013268,              0.0013268,              0.0013268
                     70,                   1.35,                 1.2902,                 1.2746,                0.54628,                0.45945,                0.47892,                0.26766,                 1.4617,                 1.3106,                 1.3416,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.3501,                 1.2789,                 1.2708,                0.52502,                0.46604,                0.47128,                0.26578,                 1.4656,                 1.2799,                  1.352,               0.001307,               0.001307,               0.001307
                     72,                 1.3477,                  1.287,                 1.2706,                 0.5264,                0.48044,                0.48523,                0.26733,                 1.4618,                 1.2765,                 1.3541,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.3407,                 1.2839,                 1.2736,                0.53491,                0.46308,                0.47613,                0.26468,                 1.4565,                 1.2949,                 1.3408,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.3538,                 1.2742,                 1.2836,                0.49392,                0.50473,                0.47985,                0.26748,                 1.4414,                 1.2997,                 1.3282,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.3501,                 1.2959,                 1.2802,                 0.5117,                0.47962,                0.47983,                 0.2709,                 1.4543,                 1.2873,                  1.338,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.3397,                 1.2705,                 1.2748,                0.52048,                0.45821,                0.47359,                0.26518,                 1.4479,                 1.3103,                 1.3417,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.3366,                 1.2487,                 1.2684,                0.53979,                0.45739,                0.48078,                0.27054,                 1.4493,                 1.2903,                 1.3377,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.3423,                 1.2655,                 1.2673,                0.55494,                0.46562,                0.48036,                 0.2679,                 1.4569,                 1.2771,                 1.3334,              0.0012377,              0.0012377,              0.0012377
                     79,                  1.315,                 1.2445,                 1.2572,                0.52739,                0.47825,                 0.4793,                0.27169,                 1.4409,                 1.2734,                 1.3282,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.3159,                 1.2565,                 1.2538,                0.52516,                0.47626,                0.47775,                0.26936,                 1.4356,                  1.287,                 1.3305,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.3392,                 1.2562,                 1.2623,                0.52029,                0.47592,                0.47795,                0.26897,                 1.4482,                 1.2938,                 1.3348,               0.001208,               0.001208,               0.001208
                     82,                 1.3149,                 1.2172,                 1.2567,                0.55563,                0.46892,                 0.4862,                0.27002,                 1.4583,                 1.2858,                 1.3403,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.3132,                 1.2293,                 1.2498,                0.51768,                0.46892,                0.47328,                0.26894,                  1.442,                 1.2805,                 1.3286,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.3154,                 1.2514,                 1.2613,                0.50196,                0.49238,                0.47659,                0.25782,                 1.4562,                 1.3238,                 1.3487,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.3198,                 1.2288,                 1.2546,                0.56755,                0.45169,                0.49403,                0.27653,                 1.4608,                 1.2553,                 1.3475,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.3016,                 1.2305,                 1.2539,                0.53699,                0.47015,                0.48703,                0.27459,                 1.4386,                  1.264,                 1.3339,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.2865,                 1.2188,                 1.2463,                0.53023,                0.47592,                0.48861,                 0.2742,                 1.4439,                 1.2728,                 1.3271,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.3029,                 1.2109,                 1.2403,                0.52661,                0.47468,                 0.4799,                0.26714,                 1.4571,                 1.2715,                 1.3417,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.2859,                 1.2151,                  1.248,                0.54215,                0.46068,                0.47876,                0.27253,                 1.4362,                 1.2689,                 1.3354,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.2784,                 1.1897,                 1.2384,                0.52681,                0.47221,                 0.4764,                0.26432,                 1.4567,                 1.2736,                 1.3494,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.3124,                 1.2159,                 1.2532,                0.54408,                0.46398,                0.47745,                0.26897,                 1.4461,                 1.2768,                  1.339,               0.001109,               0.001109,               0.001109
                     92,                 1.2825,                 1.1998,                 1.2357,                0.52432,                0.48415,                0.48121,                0.27199,                 1.4411,                 1.2548,                 1.3333,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.2731,                 1.1951,                 1.2333,                0.54025,                 0.4788,                0.48716,                0.27401,                  1.446,                 1.2527,                 1.3335,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.2924,                 1.1953,                 1.2385,                0.51884,                0.49485,                0.48473,                0.27095,                 1.4326,                 1.2627,                 1.3281,              0.0010793,              0.0010793,              0.0010793
                     95,                  1.262,                 1.1852,                 1.2269,                  0.533,                0.48086,                0.49289,                0.27484,                 1.4387,                 1.2589,                 1.3248,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.2727,                 1.1872,                 1.2336,                0.53475,                0.48497,                0.48727,                0.27334,                 1.4561,                 1.2601,                 1.3434,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.2666,                 1.1652,                 1.2233,                0.55428,                0.46844,                0.49062,                0.27506,                 1.4458,                 1.2536,                 1.3456,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.2591,                 1.1681,                 1.2185,                0.53197,                0.48291,                0.49058,                0.27314,                 1.4452,                 1.2528,                 1.3414,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.2639,                 1.1667,                 1.2247,                0.53477,                0.48044,                0.48954,                0.27657,                 1.4569,                 1.2572,                 1.3451,              0.0010298,              0.0010298,              0.0010298
                    100,                  1.258,                 1.1504,                 1.2164,                0.53171,                0.48127,                0.48674,                0.27241,                 1.4564,                  1.247,                 1.3423,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.2635,                 1.1664,                 1.2203,                0.53104,                0.47877,                0.48358,                0.27115,                 1.4527,                 1.2579,                  1.343,                0.00101,                0.00101,                0.00101
                    102,                 1.2732,                 1.1543,                 1.2272,                0.53652,                0.47323,                0.48578,                0.26729,                 1.4742,                 1.2765,                 1.3436,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.2409,                 1.1492,                 1.2097,                0.55018,                0.47098,                0.49429,                0.27533,                 1.4471,                 1.2478,                 1.3374,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.2304,                 1.1323,                 1.2061,                0.53865,                0.47299,                 0.4877,                0.27359,                 1.4482,                 1.2438,                 1.3405,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.2445,                 1.1434,                 1.2116,                0.53286,                0.47427,                 0.4879,                0.27422,                 1.4682,                 1.2499,                 1.3473,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.2419,                 1.1309,                  1.211,                0.52522,                0.48456,                0.48837,                0.27423,                 1.4547,                 1.2339,                 1.3456,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.2567,                 1.1471,                 1.2204,                0.53426,                0.48003,                0.48711,                 0.2711,                 1.4502,                 1.2604,                 1.3443,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.2277,                 1.1186,                 1.2056,                0.53898,                0.48044,                 0.4896,                0.27096,                   1.45,                  1.244,                 1.3451,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.2411,                 1.1249,                 1.2153,                0.52809,                0.47674,                0.48565,                0.26779,                 1.4739,                  1.253,                 1.3619,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.2294,                 1.1223,                 1.2022,                0.53319,                0.47468,                0.48549,                0.26937,                  1.471,                 1.2502,                  1.365,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.2101,                 1.1105,                 1.1997,                0.50594,                0.48868,                0.48263,                 0.2693,                 1.4615,                 1.2684,                 1.3544,               0.000911,               0.000911,               0.000911
                    112,                 1.2147,                 1.1128,                 1.1998,                0.52424,                0.47906,                 0.4916,                0.27546,                 1.4546,                 1.2419,                 1.3511,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.2176,                 1.1098,                  1.191,                0.51307,                0.48627,                0.48296,                 0.2704,                 1.4454,                 1.2572,                 1.3413,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.2161,                 1.1184,                 1.2087,                0.53898,                0.48516,                  0.492,                0.26994,                 1.4627,                 1.2498,                 1.3561,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.2061,                 1.0859,                 1.1914,                0.53743,                0.47633,                0.49315,                0.27548,                 1.4539,                 1.2356,                 1.3557,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.2016,                 1.1007,                 1.1877,                0.53437,                0.48827,                0.49141,                0.27499,                 1.4517,                 1.2324,                 1.3515,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.2058,                 1.0963,                 1.1937,                0.54557,                0.48209,                 0.4931,                0.27335,                 1.4526,                 1.2373,                 1.3606,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.2049,                 1.0904,                 1.1912,                 0.5448,                0.48415,                0.48995,                0.27272,                 1.4566,                  1.228,                 1.3483,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.2202,                 1.0906,                 1.1858,                0.54523,                0.47386,                0.48881,                0.27325,                 1.4602,                 1.2371,                 1.3605,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.1915,                  1.078,                 1.1805,                0.53448,                0.48127,                0.48853,                0.27054,                  1.469,                 1.2345,                 1.3582,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.1798,                 1.0635,                 1.1801,                0.52362,                0.48003,                0.47812,                0.26529,                 1.4765,                 1.2502,                 1.3676,               0.000812,               0.000812,               0.000812
                    122,                 1.1934,                 1.0689,                 1.1849,                0.53824,                0.47345,                0.48401,                0.26744,                 1.4701,                 1.2349,                 1.3666,              0.0008021,              0.0008021,              0.0008021
